Nume autor,Număr cuvinte
ARCU Constantin,3013
ARGETOIANU Constantin,4124
ARGHEZI Tudor,73389
DRAGNEA Radu,4127
DRAGOMIRESCU Mihail,12617
DRAGOŞ Nicolae,2555
DRAGU Ioan,4258
BIBERI Ion,10895
BIBESCU Martha,5219
BIBICESCU I.G . Ioan G . ,1762
ARIEŞANU Ion,4337
DRĂGAN Gabriel,1076
DRăGAN Gheorghe,4187
DRĂGAN Ioana,3105
DRĂGAN Mihai,3472
DRĂGHICESCU Alexandru G .,1477
DRĂGHICI Manolachi,2441
DRUMEA Domnica,3503
CONSTANTINESCU Ovidiu,4276
AXELRAD A . Avram Adolf ,2760
AZARIE A .,579
DUGNEANU Paul,3740
DUICU Serafim,1585
DULFU Petre,2446
BENEȘ V. Wilhelm ,5598
BENGESCU-DABIJA Gheorghe,3740
BERARIU-IEREMIEVICI Artemie,251
BERCIU Ştefan,2474
BERNEA Ernest,5495
ASACHI Ermiona,995
ASIMINEI Constantin,1944
ASLAN Isaia C .,1959
ASTALOŞ George,3900
AVRAMESCU Mihai,3241
APOLZAN Mioara,2720
ARACHELIAN Vartan,1963
ARAIA Zicu A .,1655
ARCADE L.M .,4184
ARCAN Sofia,2662
CONSTANTINESCU Vasile,3705
CONTA Vasile,3024
CORBU Daniel,3854
CORCEA Avram,1539
BOTENI Ion,1808
BOTEZ-RAREŞ George Emil,1621
BOTIŞ-CIOBANU Maria,2049
BOTTA Dan,10387
BOERESCU Costache,704
BOERESCU Dan-Silviu,2862
BOERIU Eta,3797
BOGA L.T . Leonida T. ( Nida ),2680
BOGDAN Ioan,7884
BONCIU H .,7680
BONDI Dinu,1727
BORDEIANU Leo,971
BOS Jan Willem,3490
BREAZU Ion,3658
BREZIANU Andrei,4361
BREZIANU Barbu,3312
CUNESCU Gheorghe,1453
CURTICĂPEANU Doina,4585
BOLDUR Anda,1168
BOLDUREANU Ioan Viorel,2610
BREZULEANU Ana-Maria,4341
BRILL Tony,1708
BUCIU Marian Victor,3195
BOŢU Pavel,1074
BÖZÖDI György,593
BRAN Petru,820
BRANCOVICI Gheorghe,3125
BOGREA Vasile,4706
BUJOREANU Ioan M .,2454
BARBU Ion,69005
BARCAROIU Constantin,1910
BARONZI George,4402
BAROS Linda Maria,1614
BART Jean,8788
BAȘTOVOI Ștefan,6751
CARADA Eugeniu,1878
CARAGIALE Luca Ion,4162
CARAGIALE Mateiu I .,23634
CARAGIALI Costache,2199
CARAMAN Petru,10351
CARATANĂ Nicolae,2578
CARCALECHI Zaharia,1465
ALBALA Radu,4158
ALBU Florenţa,6474
ALBU Mihaela,3459
ALBULESCU Mircea,1574
ALEXANDRESCU Matei,6548
ALEXANDRU Ioan,14395
DIMA Simona-Grazia,3114
DIMITRIU Gheorghe,863
DIMITRIU Ştefan,4009
DIMOV Leonid,17706
ALEXICI Gheorghe,3206
ALEXIU Lucian,3156
ALMAŞ Dumitru,6230
ALMĂJAN Ion Marin,3009
BATZARIA Nicolae,7390
DIACONOVICI-LOGA Constantin,1741
DIACONU Dana,4305
CÂRDU Petru,6025
CEARA George,2544
CEARA Ilie A .,1631
CELAC Silvia,2339
CERNA-RĂDULESCU Al . Alexandru ,2592
CETEA Doina,1617
CHILARU Ion,832
CHINDRIŞ Ioan,5306
DELEANU Liviu,1088
DENSUŞIANU Aron,5186
CÂMPEANU Pavel,2565
CONSTANT Eugen,4160
CONSTANT Paul,5007
CONSTANTE Lena,3385
CONSTANTINESCU Barbu,715
CONSTANTINESCU Dan,2853
CONSTANTINESCU Nicolae,5069
BĂNESCU Nicolae,1268
BĂNUŢ Aurel P .,5608
BĂRAN Vasile,2148
BĂRBULESCU Ilie,1306
BĂRBULESCU Marta,1380
BĂRGĂUANU Gheorghe,2623
BĂRNUŢIU Simion,3175
BÂRLĂDEANU Lucreţia,1017
DONOSE Vicenţiu,5413
DORA D ’ ISTRIA,6145
DORIAN Emil,3551
CIUBOTARU Mihail I .,4595
BÂRLEA Petre Gheorghe,2510
BÂRNA Vlaicu,5280
BÂRSILĂ Mircea,5728
BELDEANU Adrian,3761
ANTONESCU George,2221
ANTONESCU Nae,2851
ANTONIU Corneliu,1834
DIONISIE Romano,3048
DOBRESCU Alexandru,7736
DOBRESCU Marius,2194
DOBROTă Eugeniu,1533
COJOCARU Dragoş,1243
COJOCARU Dragoș,3817
CONDIESCU N.M. Nicolae M . ,4104
CLAUDIAN Alexandru,2729
COBAN Nicolae,2160
DOLÂNGĂ Nicolae,1009
COVACI Aurel,1760
COVACI Ion,1547
CRAINIC Nichifor,13717
CRĂCIUN Gheorghe,20161
BLAJEVICI Teoctist,1579
BLANK Aristide,3533
CREANGĂ Ion,27266
DUŢESCU Dan,2873
DUŢESCU Mihai,3624
CORLACIU Ben,5497
CSEJKA Gerhardt,2558
CUCU Stelian,1571
CUGNO Marco,5957
CRISTEA Stan V .,1501
CRISTESCU Maria-Luiza,7674
CRIŞAN Constantin,2405
CORNEA Andrei,5902
CORNEANU Leonid,1062
COSMA Anton,3581
COSTIN Sebastian,1918
COTRĂU Liviu,3727
CULEA Apostol D .,1852
BODEA Dan,2382
DUMITRESCU Mariana,2446
DUMITRESCU-BISTRIŢA Gheorghe N .,1441
BURAC Andrei,2046
BUSUIOC Aureliu,2461
BUTNARU Val Valeriu ,1492
BUZILĂ Boris,2012
BUZNEA George,2084
CARTOJAN Nicolae,9168
CASSIAN-MĂTĂSARU I . Iosif ,1015
CAVADIA Mircea,3388
CAZABAN Al . Alexandru ,3545
CAZIMIR Otilia,4247
CĂLIN Gheorghe,1921
CĂLIN Liviu,2275
CĂLIN Vera,5357
DANCIU PETNICEANU,4162
DANIEL Paul I .,3951
DARIE Pavel,1204
AARON Theodor,2149
AARON Vasile,5353
ACHIM George,3462
ÁCS Károly,1799
ACSINTEANU George,2556
ACTERIAN Jeni,5647
BACOVIA George,19865
BADEA Ștefan,2872
BAICAN Elie,778
BALAN Dumitru,833
CANTACUZINO G. M. George Mathei ,6335
BABEȘ Vincenţiu,1599
BABOI Stelian,2641
BABU Ovidia,1343
BACIU Camil,4801
ADAMEK Diana,3960
ADĂSCĂLIŢEI Vasile,3255
CANTEMIR Traian,1551
CANTILLI Constantin,1318
CANTUNIARI Ileana,1921
DAN Pavel,15769
CARMEN Sylva,5709
BALȘ Teodor,1743
BANEA Gheorghe,2017
BANTAȘ Ioana,2272
BANTOȘ Ana,1755
DEAL Alexandru,2082
DECUSARă-BOCŞAN Crina,1417
DEL CHIARO,442
CACIONA Tache,2189
CALAÏS Alexandru,1485
CIOCULESCU Simona,1552
CIORAN Emil,19132
CIORĂNESCU George,4550
CIORĂNESCU Ioan I .,2499
ANDREIŢĂ Ion,3350
ANDRIEŞ Andi,2080
ANGHEL Dimitrie,12941
ANGHELESCU Adrian,4874
ANANIA George,3468
ANANIA Valeriu,11048
ANCU Grigore,876
ANDERCO Cicio Simion,937
CIPRIAN G .,10515
CISTELECAN Al . Alexandru ,9120
ALUI GHEORGHE Adrian,6359
CHIRNOAGĂ Mihail,1875
CIOCAN Iulian,1887
CIOCANU Anatol,1508
CIOCÂRDIA MATILA Dimitrie,1730
CHIVU Gheorghe,3280
CIBOTARU Mihail Gh .,2051
BĂILEȘTEANU Jean,3523
ANTON Ion,1771
DUMITRESCU George,4072
DUMITRESCU- BUŞULENGA Zoe,8285
DUMITRIU Petru,29588
BENIUC Mihai,19974
BERDAN Lucia,2690
CONSTANTINESCU Pompiliu,14035
CORBASCA Vladimir,1656
CORBEA Teodor,2073
CORBU Haralambie,2340
AZAP Gheorghe,2295
DRUMUR George,3195
DUCHIŃSKA Seweryna,675
DUDA Gabriela,1714
DUDA Virgil,6223
DUDAŞ Florian,1262
CORDOȘ Sanda,5973
BELIGAN Marica,1188
BELIGAN Radu,169
BELLU Pavel,3259
BENADOR Ury,6750
BENEA Marcela,146
DRĂGANU Nicolae,7935
DRIMBA Ovidiu,4619
CONSTANTINESCU Pimen,2811
ASLAN Theodor,983
ATANASIU Gheorghe,2518
AVRAM Vasile,2846
AVRAMESCU Mihail,7082
BHOSE Amita,1469
ARMAŞU Liliana,2821
Armeanu V aleriu,2953
DRAGOSLAV Ion,2739
BRUMARU Emil,7945
BRUNEA-FOX F .,9404
BUCOV Emilian,1841
BUCŞA Petre,3025
BUCUR Cornelia,1607
BUCUR Romulus,5647
BUD Florica,2330
BUD Tit,1189
BRATOLOVEANU Liviu,3532
BRATU Savin,4243
BRĂDESCU Faust,3575
BREBAN Nicolae,17757
CULIANU Ioan,6479
CURUCI Leonid,1452
BOLLIAC Cezar,5111
BOTEZ Ioan ( Iancu ),2980
BOTEZ Octav,6699
BOTTA Emil,13160
BOIAGI Mihail G .,3624
BOITOR George,1978
BOIU Zaharia,1287
BOJAN Mariana,3330
BOJINCĂ Damaschin T. Toma ,3110
BUJOR Paul,3036
BULAT Eugenia,1089
BULAT Virgil,3631
BUMBEŞTI Gheorghe V .,3088
BRAGA Corin,7040
BRAN-LEMENY Ioan Alexandru,1759
BORZIN Aurelia,1007
BOT Ioana,6476
BOGDAN-DASCĂLU Doina,2094
BOGDAN-Piteşti Alexandru,3080
BANUȘ Maria,9663
BARBU Eugen,27719
DASCAL Mihai,3040
DAUŞ Ludovic,2861
DAVID Dan,3212
DAVIDESCU N. Nicolae ,10779
DAVIDOVICI Doru,1733
AGOPIAN Ştefan,16391
CĂRĂUȘ Tamara,1814
CĂRTĂRESCU Mircea,26558
CĂTINA Oana,4102
CÂNDEA Virgil,8816
DEŞLIU Valentin,1370
DIACONESCU Ioana,3326
DIACONESCU Romulus,3089
DIACONESCU Traian,4742
DIACONU Ion,5326
DIMA Al . Alexandru ,10732
DELEANU Nicolae,1680
DEMETRESCU Mihail,1110
DEMETRESCU Traian,3421
DEMETRIAN Bucur,1967
DENSUSIANU Ovid,10579
DENSUŞIANU Ovid fiul,3725
